previous ID	current ID	name	category ID	category	secondary tags	entry type	review note
shape	shape-synth	Shape	geometric	Geometric	2D; Synthesizer	instrument	
solid	solid-synth	Solid	geometric	Geometric	3D; Synthesizer	instrument	
hyper	hyper-synth	Hyper	geometric	Geometric	4D; Synthesizer	instrument	
moebius	moebius-synth	Möbius	wip	Work in Progress	Synthesizer; Geometric	instrument	Used wip ID as primary and retained Geometric as a secondary tag.
klein-bottle	klein-bottle-synth	Klein Bottle	wip	Work in Progress	Synthesizer; Geometric	instrument	Used wip ID as primary and retained Geometric as a secondary tag.
graph-synth	graph-synth	Graph Synth	geometric	Geometric	Fractal; Recursive	instrument	
combo	shapes	Shapes	app	App	Geometric; Synthesizer; Sequencer; Drum Machine; Audio Effect; 2D; 3D; 4D	instrument	
l-systems	l-systems	L-Systems	app	App	Fractal; Recursive; Drum Machine; Audio Effect	instrument	
graphs	graphs	Graphs	app	App	Fractal; Recursive; Drum Machine; Audio Effect	instrument	
tiles-app	tesselation	Tesselation	app	App	Tesselation; Sequencer; Drum Machine	instrument	Mapped the unique Tiles app row to existing tiles-app. [sheet: tesselation-app]
algorithmic-mazes	algorithmic-mazes	Mazes	wip	Work in Progress		instrument	
paths	paths	Paths	wip	Work in Progress		instrument	
lattice	lattice	Lattice	tesselation	Tesselation	Sequencer	instrument	
spiral	spiral	Spiral	tesselation	Tesselation	Sequencer	instrument	
lattice-drums	lattice-drum-machine	Lattice Drum Machine	tesselation	Tesselation	Sequencer	instrument	
spiral-drums	spiral-drum-machine	Spiral Drum Machine	tesselation	Tesselation	Sequencer	instrument	
shape-drums	shape-drum-machine	Shape Drum Machine	geometric	Geometric		instrument	
solid-drums	solid-drum-machine	Solid Drum Machine	geometric	Geometric		instrument	
hyper-drums	hyper-drum-machine	Hyper Drum Machine	geometric	Geometric		instrument	
l-system-drums	l-system-drum-machine	L-System Drum Machine	fractal	Fractal	Drum Machine; Recursive	instrument	Normalized ID punctuation/case. [sheet: fractal;]
l-system	l-system	L-System	fractal	Fractal	Recursive; Sequencer	instrument	
graph-drums	graph-drum-machine	Graph Drum Machine	geometric	Geometric	Fractal; Recursive; Drum Machine	instrument	Used geometric ID as primary and retained Drum Machine as a secondary tag.
linear-drums-machine	rattlesnake-skin	Rattlesnake Skin	instrument	Instrument	Drum Machine	instrument	
rubix	rubix	Rubix Cube Sequencer	sequencer	Sequencer	Drum Machine; 3D; Puzzle	instrument	
sliding-puzzle	sliding-puzzle	Sliding Puzzle	sequencer	Sequencer	Drum Machine; 2D	instrument	
hocket-loom	hocket-loom	Hocket Luigi	sequencer	Sequencer	Drum Machine; 3D	instrument	
hyper-rubix	hyper-rubix	Hyper Rubix	sequencer	Sequencer	Drum Machine; 4D; Puzzle	instrument	
webgpu-303	webgpu-303	WebGPU 303	gpu-audio	GPU Audio	Sequencer; Synthesizer; Acid; 303	instrument	Owner confirmed retaining webgpu-303 with display name WebGPU 303. [sheet: webgpu-304]
simd-303	simd-303	SIMD 303	simd-audio	SIMD Audio	Sequencer; Synthesizer; Acid; 303	instrument	
simd-synth	simd-synth	SIMD Synth	simd-audio	SIMD Audio	Synthesizer; Sequencer	instrument	
webgpu-chiptune	webgpu-chiptune	WebGPU Chiptune	gpu-audio	GPU Audio	Synthesizer; Sequencer	instrument	
jaw-jam	jaw-jam	Jaw Jam	sequencer	Sequencer	Physical Model; Instrument; Synthesizer	instrument	
webgpu-synths	webgpu-synths	GPU Shader Synths	gpu-audio	GPU Audio	Sequencer; Synthesizer	instrument	
srtuss	srtuss	srtuss Master	gpu-audio	GPU Audio	Sequencer; Synthesizer	instrument	
shader-synth-playground	shader-synth-playground	Modular Shader Synth	gpu-audio	GPU Audio	Synthesizer	instrument	
throatazoid	throatazoid	Throatazoid	physical-model	Physical Model	Voice; Synthesizer	instrument	
pink-trombonazoid	pink-trombonazoid	Pink Trombonazoid	physical-model	Physical Model	Voice; Sequencer; Synthesizer	instrument	
throat-singing	throat-singing	Throat Singing	physical-model	Physical Model	Voice; Synthesizer	instrument	
syrinx	syrinx	Syrinx	bioacoustic	Bioacoustic	Physical Model	instrument	
tongued-beasts	tongued-beasts	Tongued Beasts	bioacoustic	Bioacoustic	Physical Model	instrument	
hybrinx	hybrinx	Hybrinx	bioacoustic	Bioacoustic	Physical Model	instrument	
creaturazoid	creaturazoid	Creaturazoid	bioacoustic	Bioacoustic	Sequencer; Physical Model	instrument	
quadruped	quadruped	Quadruped	bioacoustic	Bioacoustic	Sequencer; Drum Machine	instrument	
roach-synth	roach-synth	Roach Synth	bioacoustic	Bioacoustic		instrument	
spider-synth	spider-synth	Spider Synth	bioacoustic	Bioacoustic		instrument	
colony-syrinx	monstroid	Monstroid	physical-model	Physical Model	Voice; Synthesizer	instrument	
blowhole	blowhole	Blowhole	bioacoustic	Bioacoustic	Sequencer	instrument	
